"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"GLOVE",0,0,4.333,0.611,0.389,3.389,0.095,4.19,0.476,0.19,0.19,0,0,1.138,1.378,0.916,1.944,0.301,1.47,1.25,0.512,0.512
"GLUE",0.286,0.286,3.048,0.238,2.857,3.667,0.3,3.15,1.7,0.35,0.2,0.902,0.644,1.564,0.7,1.682,1.528,0.733,1.872,2.029,0.587,0.523
"GO",1.737,0.474,0.737,1.895,0.579,2.421,3.6,1.95,2.6,1.75,1.75,1.939,1.307,1.447,2.079,1.346,2.09,1.847,1.82,1.875,1.997,1.888
"GOOD",2.529,1.882,1.941,2.765,2.059,3,1.3,1.5,3.25,1.9,1.15,2.035,1.965,2.164,1.751,2.076,1.768,1.949,2.09,1.97,1.997,1.872
"GOOSE",3.526,1.632,1.632,0.211,1.211,4.105,0,1.45,2.7,0.8,0.35,1.389,1.64,1.739,0.535,1.357,0.994,0,2.012,2.203,1.642,0.988
"GRANDMA",3.765,0,1.529,0.647,0.706,4.235,0.389,2.389,2.833,2,1.056,1.562,0,1.908,1.32,1.105,1.393,0.608,2.033,2.229,2.058,1.434
"GRANDPA",2.632,0.263,1.789,0.789,1.053,3.105,0.524,1.619,2.762,1.667,0.667,2.087,1.147,1.843,1.273,1.471,1.997,1.167,1.687,2.022,1.958,0.913
"GRAPE",0.176,4.353,2.588,0.765,1.353,3.294,0.294,2.235,1.588,4.235,0.353,0.728,0.862,1.805,1.251,1.455,1.829,1.213,2.137,1.734,1.48,1.057
"GRASS",0.74,0.575,3.42,0.438,3.033,4.412,3.158,2.421,2.895,0.474,0.316,1.314,1.166,1.555,1.09,1.535,1.016,1.74,1.924,1.969,1.02,0.82
"GREEN",0.263,0.158,0.053,0.158,0.105,4.474,0.2,0.25,3.25,0.5,0.25,1.147,0.501,0.229,0.501,0.315,1.172,0.523,0.716,1.943,1.1,0.91
"GUM",1.118,3.235,2.059,0.824,1.588,2.765,0.263,0.789,0.842,4.211,0.211,1.764,1.786,1.638,1.237,1.583,1.855,0.562,1.134,1.608,1.357,0.535
"HAIR",0.5,0.222,3.778,0.278,1.944,4.389,0.905,2.19,4.048,0.524,1.048,1.2,0.428,1.263,0.575,1.955,0.916,1.221,1.662,1.564,0.873,1.244
"HAMBURGER",0.412,4.882,2.588,0.647,3.471,3.941,0.278,3.278,2.333,4.111,1.333,0.795,0.485,2.063,1.412,1.463,1.519,0.669,1.638,1.94,1.676,1.609
"HAMMER",3.526,0.263,3.526,0.579,0.368,4.211,0.579,4.421,2.421,0.632,1.105,1.577,1.147,1.611,1.17,1.212,0.976,1.346,1.017,2.009,1.461,1.729
"HAND",0.65,0.15,3.65,0.95,0.3,4.25,0.158,4.421,0.947,0.158,0.211,1.309,0.671,1.694,1.538,1.129,1.41,0.375,1.427,1.682,0.501,0.535
"HAPPY",3.357,0.786,1,4.5,0.643,3.571,0.895,1.158,3.526,2.737,1,1.499,1.424,1.414,1.286,1.393,1.158,1.629,1.864,1.645,2.207,1.732
"HARD",1.15,0.2,4.55,1.5,0.05,2.9,1.714,3.143,2.571,1.095,1.238,1.496,0.696,0.686,1.85,0.224,1.553,1.927,1.905,2.087,1.841,1.998
"HAT",0.059,0,3.059,0.294,0.294,4.471,0.25,1.35,4.3,0.4,0.25,0.243,0,1.435,0.849,1.213,0.943,0.786,1.599,1.418,1.095,0.786
"HATE",2.684,0.211,1.053,3.579,0.316,2.789,0.714,1.19,2.952,1.952,0.857,1.916,0.535,1.615,1.677,0.82,1.932,1.271,1.721,1.936,2.061,1.389
"HAVE",1.45,0.85,1.8,1.1,0.5,2.45,0.737,2.211,1.895,1.263,0.684,1.572,1.599,2.016,1.744,0.946,1.849,1.447,2.123,1.883,1.727,1.529
"HE",3.167,0.556,1.944,1.389,1.222,3.722,0.476,0.762,2,1.333,0.619,1.618,1.294,1.83,1.72,1.396,1.708,1.25,1.375,2.121,1.853,1.396
"HEAD",1.053,0.474,3,0.842,0.737,4.474,0.158,0.737,4.632,2.789,0.368,1.649,1.02,1.795,1.642,1.408,1.124,0.375,1.147,1.116,2.275,0.831
"HEAR",4.611,0,0.111,0.5,0,0.056,0.158,0.474,4.684,0.474,0.526,1.243,0,0.471,1.043,0,0.236,0.501,1.073,1.157,1.307,1.073
"HEAVY",0.438,0.125,3.312,1.688,0.188,2.125,2.474,4.211,2.105,1.211,2.368,0.964,0.5,1.991,1.852,0.75,1.821,1.611,1.084,2.025,1.718,1.802
"HELICOPTER",4.647,0,1.235,0.588,0.235,4.765,0.944,1.278,2.778,0.667,0.944,0.862,0,1.985,1.176,0.664,0.664,1.798,1.841,2.211,1.609,1.798
"HELP",2.923,0.538,1.423,1.423,0.346,3.154,2.19,2.952,3.381,2.667,2.048,2.153,1.24,1.793,1.501,0.977,2.014,2.064,1.987,1.802,2.082,2.061
"HEN",2.944,1.333,1.944,0.556,1.5,4.222,0.75,1.65,2,0.8,0.35,1.893,1.94,1.83,1.199,1.654,0.878,1.713,2.183,2.103,1.508,1.137
"HER",2.848,0.667,2.152,1.061,1.212,4.242,2.3,2.9,3.05,2.9,2.6,1.839,1.534,1.839,1.713,1.673,1.275,2.203,2.174,2.164,1.971,2.037
"HERE",1.389,0.222,1.5,0.722,0.444,3.333,1.381,1.762,2.238,1.19,0.952,1.914,0.732,1.978,1.274,1.338,2.275,1.962,1.972,1.972,1.887,1.746
"HI",3.474,0.053,0.105,0.316,0,2.158,0.412,2.824,2,3.471,0.353,1.775,0.229,0.315,0.749,0,1.979,1.278,2.128,1.871,1.94,0.996
"HIDE",1,0.25,0.45,0.5,0.3,3.25,2.632,2.263,2.579,1.263,2.368,1.717,0.786,1.276,1.235,0.733,1.832,2.14,1.851,2.116,1.628,2.06
"HIGH",0.944,0.167,1.111,2.444,0.722,3.167,0.667,1.333,3.238,1.571,0.762,1.552,0.707,1.451,1.854,1.364,1.79,1.39,1.826,1.814,1.859,1.48
"HIM",2.559,0.735,1.794,1.294,1.412,3.206,0.838,1.459,2.703,1.703,1.135,1.941,1.524,1.871,1.818,1.69,2.027,1.59,1.909,2.039,2.012,1.798
"HIT",1.8,0.6,3.05,2.15,0.65,3.15,1.65,3.9,1.8,0.4,1.1,1.795,1.569,1.986,2.3,1.631,1.843,1.872,1.714,1.576,0.94,1.619
"HOLD",0.353,0,4.353,0.647,0,3.588,0.684,4.579,1.632,1.316,0.789,0.786,0,1.115,1.412,0,1.622,1.003,0.961,2.114,1.6,1.134
"HOME",1.091,0.318,2.091,1.727,1.682,4,2.053,2.737,4.421,2.105,2.158,1.192,0.646,1.9,1.751,1.585,1.48,2.198,2.281,1.305,2.307,2.243
"HORSE",3.294,0.235,3.412,0.176,1.588,4.647,2.7,3.1,2.45,1.05,1.85,1.49,0.752,1.121,0.529,1.417,0.862,1.922,1.861,2.089,1.572,1.872
"HOSE",1,0,2.941,0,0,3.824,0.333,3.381,0.952,0.333,0.524,1.696,0,1.952,0,0,1.741,0.658,1.774,1.322,1.065,0.928
"HOT",0.647,1.765,4.118,2.412,0.824,1.706,3,3.579,3.368,3.053,2.947,1.367,2.047,1.453,2.063,1.237,2.024,1.826,1.805,1.739,1.957,1.985
"HOUSE",0.438,0.062,1.875,0.688,0.938,4.875,2.571,2.429,3.429,0.857,1.619,1.031,0.25,1.962,1.195,1.526,0.5,2.111,1.989,1.912,1.195,1.936
"HOW",1.8,0.667,1.333,1.133,0.733,1.667,0.941,1.059,2.529,2.118,1,1.935,1.496,1.718,1.642,1.58,1.952,1.784,1.819,2.154,2.205,1.904
"HUG",0.688,0.312,4.438,2.75,0.438,2.5,0.176,4.176,1.824,0.412,3.765,1.25,1.25,0.727,2.017,1.031,1.789,0.393,0.951,1.468,1.228,1.3
"HUNGRY",1.049,1.655,0.491,4.517,1.388,1.174,0.294,0.647,2.588,2.765,3.529,1.379,1.922,1.118,0.962,1.744,1.597,0.985,1.222,1.938,2.107,1.546
"HURRY",1.182,0,0.545,2.682,0,2.864,4.167,2.833,2.556,1.778,2.389,1.708,0,1.057,1.912,0,1.833,0.924,1.505,1.886,1.592,1.914
"HURT",1.722,0.333,2.056,3.944,0.333,2.611,2.75,2.85,2.9,2.7,2.8,1.904,1.188,1.984,1.349,1.188,2.033,2.099,2.059,1.944,2.13,2.067
"ICE",1.375,2.625,3.75,1.312,0.125,4.312,1.65,3.45,2.35,3.65,1.3,1.586,2.062,1.653,1.74,0.342,1.302,1.663,1.538,1.981,1.182,1.38
"INSIDE",0.611,0.111,1.111,1.444,0.167,3.111,1.75,1.75,2.35,1.35,1.85,1.29,0.471,1.451,1.886,0.707,1.745,1.773,1.803,1.814,1.663,1.814
"JACKET",0.941,0,3.882,0.941,0.176,4.118,0.5,4.1,1.7,0.2,3.5,1.519,0,1.576,1.56,0.393,0.993,1.235,1.447,1.867,0.616,1.987
"JAR",0.412,0.118,4,0,0.118,4.529,0,3.381,1.619,0.381,0.143,0.87,0.485,1.173,0,0.485,0.8,0,1.687,2.012,0.973,0.478
"JEAN",0.158,0,3.211,0.211,0.316,3.632,3.238,1.238,0.762,0.19,1.381,0.375,0,1.903,0.535,0.671,1.707,2.071,1.609,1.513,0.512,1.774
"JELLY",0.333,4,3,0.556,2.389,3.667,0.2,1.7,1.6,3.55,0.5,1.029,1.645,1.91,1.199,1.539,1.609,0.696,1.625,1.759,1.849,1.1
"JUICE",0.25,4.75,0.85,0.6,2.05,3.7,0.05,2.2,1.55,4.05,1.1,0.444,0.444,1.461,1.273,1.234,1.218,0.224,1.824,1.791,1.761,1.683
"JUMP",1.556,0,1.389,2.833,0,3.944,4.85,1.7,1.3,0.3,2.55,1.617,0,1.787,1.724,0,1.392,0.489,1.689,1.75,0.923,1.849
"KEY",1.235,0,3.647,0.294,0,4.294,0,3.412,0.765,0,0,1.751,0,1.766,0.686,0,1.404,0,2.002,1.48,0,0
"KICK",0.895,0.211,3.526,1.842,0.158,3.632,4.75,0.15,0.55,0,0.65,1.15,0.631,1.611,1.608,0.501,1.461,0.786,0.366,1.146,0,0.933
"KISS",1.611,2.167,3.833,2.389,0.333,3.722,0.381,0.857,1.143,4.286,0.429,1.29,2.093,1.689,2.09,0.84,1.487,1.203,1.652,1.905,1.488,1.363
"KITCHEN",1.667,0.444,2.333,0.333,1.944,4.444,1.5,1.75,2.45,1,1.05,1.414,1.042,1.847,0.767,1.589,1.042,1.762,1.97,1.849,1.522,1.638
"KITTY",3.167,0.056,2.944,0.444,1.222,4.111,1.105,3.211,2.053,0.474,1.211,1.689,0.236,1.984,1.247,1.665,1.41,1.729,2.123,2.147,1.02,1.873
"KNEE",0.6,0,3.6,1.95,0,4.25,4.222,1.111,0.778,0,0.056,1.314,0,1.501,2.064,0,1.251,1.437,1.641,1.555,0,0.236
"KNIFE",0.667,0.278,3.222,0.278,0,4.5,0.474,3.632,1.526,0.579,0.684,1.372,1.179,1.801,1.179,0,0.924,1.219,1.921,1.982,1.305,1.293
"KNOCK",3.824,0,2.882,1,0,2,0.55,4.45,2.3,0.35,0.25,1.912,0,1.9,1.62,0,1.904,1.432,1.276,2.203,1.182,0.91
"LADDER",0.789,0.105,3.368,0.474,0.211,4.632,3.263,3.211,0.737,0,1.158,1.548,0.459,1.832,1.307,0.918,0.955,1.91,1.932,1.327,0,1.803
"LADY",2.794,0.412,1.853,0.912,1.882,4.118,1.265,1.794,3.118,1.735,1.294,1.719,1.104,1.672,1.525,1.647,1.343,1.864,2.012,1.981,2.093,1.801
"LAMB",2.941,2.941,2.294,0.176,2.294,4.294,0.3,1.5,1.95,1.85,0.65,1.886,2.045,1.795,0.529,1.724,1.047,0.571,1.606,2.164,2.033,1.137
"LAMP",0.294,0,2.529,0,0.059,4.706,0.722,2.667,2.722,0.389,0.389,0.588,0,1.807,0,0.243,0.772,1.32,1.879,1.841,0.979,0.698
"LAST",1.474,0.105,0.526,0.737,0.105,3.316,0.789,0.737,1.632,0.895,0.789,1.679,0.315,1.124,1.327,0.315,1.529,1.357,1.327,1.64,1.37,1.316
"LEG",0.529,0.118,3.118,1.294,0.235,3.824,4.4,0.6,1.25,0.3,0.45,0.874,0.332,1.576,1.49,0.752,1.59,1.569,1.142,1.888,0.733,1.191
"LICK",1.579,2.842,3.263,1.474,0.789,3.316,0.111,0.111,0.278,4.556,0.056,1.865,2.192,1.79,1.954,1.751,1.668,0.323,0.323,0.669,1.042,0.236
"LIGHT",0.2,0.05,0.6,0.4,0.05,4.6,0.211,0.842,3.579,0.368,0.211,0.696,0.224,1.095,0.821,0.224,1.188,0.535,1.608,2.219,1.212,0.535
"LIKE",1.667,1.286,1.476,3.143,1.476,1.857,1.105,1.684,3.789,2.895,1.474,1.906,1.901,1.887,1.957,1.914,2.007,1.997,2.001,1.751,2.079,2.144
"LION",3.882,0.471,1.824,0.941,0.941,4.824,0.286,0.571,2.714,0.429,0.238,1.166,1.281,2.325,1.853,1.749,0.529,1.102,1.028,1.978,1.248,0.7
"LIP",0.647,1.471,2.941,1.176,0.353,2.941,0,0.5,1.65,4.25,0,1.367,1.807,1.853,1.667,1.222,1.853,0,0.889,2.059,1.713,0
"LISTEN",4.55,0,0.05,0.5,0,1.2,0.109,0.211,4.772,0.271,0.146,0.887,0,0.224,0.946,0,1.673,0.507,0.668,0.716,0.853,0.562
"LITTLE",1.667,0.278,1.556,0.833,0.167,4.278,0.65,0.8,1.65,0.35,0.5,1.94,0.669,1.822,1.295,0.514,1.074,1.461,1.508,1.899,1.137,1.395
"LOLLIPOP",0.125,3.812,2,0.438,1.562,4,0,1.882,1.412,4.235,0.412,0.342,1.797,1.966,1.315,1.965,1.265,0,1.996,1.805,1.393,1.004
"LONG",1.529,0.294,1.941,0.824,0,3.824,1.545,1.909,2,0.682,0.909,1.663,0.985,1.853,1.468,0,1.015,1.819,1.716,1.826,1.211,1.509
"LOOK",0,0,0,0.056,0,4.222,0.35,0.4,4.55,0.55,0.5,0,0,0,0.236,0,1.437,0.813,0.995,0.826,1.317,1.147
"LOUD",4.68,0,0.08,0.96,0,0.96,0.864,1.182,3.045,3,0.773,0.748,0,0.277,1.567,0,1.369,1.612,1.868,2.214,2.16,1.478
"LOVE",2.056,0.722,3,4.389,1.056,2.667,1.5,2.444,3.667,3.611,3.333,2.014,1.32,1.782,1.335,1.589,2,2.065,2.202,1.91,1.852,1.91
"LUNCH",0.944,4.778,2.667,1.778,3.444,4,0.238,2,2.286,3.857,1.476,1.474,0.548,1.609,1.927,1.381,1.534,0.539,2.098,2.305,1.982,1.99
"MAD",3.053,0,0.263,3,0,3.158,1.105,1.579,2.789,1.842,1.158,1.985,0,0.806,1.972,0,1.893,1.853,2.036,2.149,2.192,1.922
"MAILMAN",2.278,0.167,0.667,0.333,0.333,3.889,1.05,1.65,2.35,1.1,0.6,1.708,0.707,1.645,0.97,0.97,1.451,1.959,2.007,2.059,1.714,1.536
"MAKE",2.111,1.333,3.056,1.556,1.278,3.389,0.722,3,1.722,0.667,0.722,1.875,1.91,2.1,1.854,1.809,1.819,1.018,2.223,1.602,1.188,0.895
"MAN",3.647,1.353,2.824,2.235,2.235,4.059,1.176,2.059,3.353,1.412,1.882,1.618,1.935,1.704,1.855,1.786,1.298,1.59,1.919,1.73,1.583,1.867
"ME",3.973,2.189,3.946,4.108,3.054,4.108,2.556,3.056,4,3.111,3.056,1.518,2.283,1.393,1.542,1.943,1.468,2.229,2.155,1.572,2.246,2.043
"MEAT",0.421,4.632,2.947,0.737,3.316,3.526,0.095,1.381,1.381,3.762,1.048,1.305,0.761,1.649,1.408,1.668,1.645,0.436,1.687,2.012,2.166,1.987
"MEDICINE",0.65,3.9,2.65,2.95,2.15,3.7,0.722,2,3,4,1.556,1.461,1.373,1.663,1.701,1.927,1.689,1.227,1.495,1.68,1.455,1.653
"MEOW",4.75,0.15,0.4,0.5,0.1,1.6,0.095,0.19,2.905,1.619,0.095,0.55,0.671,0.995,1.277,0.447,1.759,0.436,0.68,2.166,1.91,0.436
"MILK",0.833,4.667,1.833,1.056,1.944,4.111,0.222,1.222,1.5,4.056,1.5,1.654,0.594,2.121,1.731,1.765,1.41,0.428,1.629,1.757,1.434,1.886
"MINE",1.85,0.8,2,1.7,1.25,3.25,1.474,2.684,2.947,1.895,1.474,2.159,1.642,2.34,1.949,2.023,1.997,2.01,2.029,2.094,2.025,2.091
"MITTEN",0.5,0.25,3.95,0.9,0.15,4.1,0.158,3.737,0.263,0.053,0,1.051,0.91,1.356,1.41,0.489,0.968,0.501,1.628,0.562,0.229,0
"MOMMY",3.1,0.4,2.1,1.85,0.9,3.9,1.579,2.421,3.632,2.579,1.947,1.744,1.231,1.774,1.725,1.334,1.119,1.71,1.953,1.921,1.981,1.81
"MONEY",0.667,0,3.667,0.5,1.278,4.333,0.5,2.15,2,0.7,0.6,0.97,0,1.609,1.043,1.32,1.328,1.235,2.368,2.224,1.302,1.392
"MOO",4.8,0.05,0.15,0.15,0.2,0.8,0,0.167,2.333,2.167,0.167,0.523,0.224,0.366,0.366,0.616,1.473,0,0.707,2.223,2.176,0.514
"MOON",0.111,0.056,0.222,0.222,0.056,4.778,0.318,0.591,3.273,0.227,0.318,0.471,0.236,0.647,0.548,0.236,0.428,0.78,1.054,1.956,0.528,0.646
"MOOSE",2.188,0.312,1,0.312,0.875,4.062,0.05,0.75,1.95,0.15,0.25,1.601,0.793,1.506,0.873,1.204,1.692,0.224,1.446,2.114,0.489,0.716
"MOP",1.316,0.105,2.632,0.474,0.737,3.684,1.667,3.905,1.476,0.429,1.333,1.6,0.459,1.802,1.172,0.933,1.565,1.653,1.513,1.806,0.87,1.653
"MORE",1.529,1.118,1.588,1.176,0.824,3.059,0.81,1.571,2.476,1.476,0.952,1.807,1.691,1.873,1.741,1.468,2.221,1.327,1.886,2.136,1.834,1.396
"MORNING",2.353,0.294,0.118,1.706,1.235,3.588,1.632,1.789,3.158,1.684,1.316,1.693,0.985,0.332,1.759,1.821,1.805,1.95,1.96,2.062,1.916,1.827
"MOTORCYCLE",3.562,0,2,0.25,1.062,4.188,3.714,3.905,3,1.095,2.81,1.711,0,2.16,0.775,1.652,1.642,1.707,1.729,2,1.411,1.887
"MOUSE",2.744,0.051,1.744,0.282,0.692,4.077,0.143,1.857,1.619,0.143,0.143,2.048,0.223,1.773,0.944,1.625,1.476,0.359,1.931,1.746,0.478,0.478
"MOUTH",1.211,2,2.579,1.263,0.737,2.947,0.211,0.579,1,4.895,0.053,1.751,1.972,2.116,1.91,1.593,2.368,0.918,1.17,1.826,0.315,0.229
"MOVIE",4.412,0,0.176,0.176,0,4.824,0.381,0.476,4.238,0.762,0.286,0.795,0,0.529,0.529,0,0.393,1.161,1.167,1.513,1.338,1.102
"MUCH",1.875,0.812,1.438,0.938,0.688,3.062,0.476,1.143,1.81,0.762,0.381,2.029,1.721,1.999,1.806,1.702,2.175,1.123,1.652,1.887,1.375,1.024
"MUFFIN",0.944,4.389,3.5,0.778,3.611,3.833,0,1.895,1.158,4.421,0.526,1.662,1.614,1.823,1.353,2.033,1.425,0,1.663,1.463,1.261,0.964
"NAIL",1.571,0.071,4.571,0.214,0,4.429,1.158,4.368,1.842,0.158,0.579,1.91,0.267,1.089,0.426,0,1.505,1.573,1.116,1.951,0.375,1.17
"NAP",0.619,0,0.81,3.238,0,1.762,2.762,2.762,3.81,2.381,3.19,1.203,0,1.569,1.868,0,2.095,1.921,1.841,1.47,2.037,1.778
"NAPKIN",0.438,0.188,3.812,0.062,0.375,4.375,0.526,3.737,2.105,2.421,0.684,0.512,0.544,1.047,0.25,0.619,1.025,1.124,1.593,1.883,2.194,1.293
"NECKLACE",0.312,0,2.625,0.125,0,3.938,0.043,1.739,1.609,0.217,1.783,1.014,0,1.746,0.5,0,1.436,0.209,2.05,1.803,0.6,1.953
"NEED",1.947,0.368,0.895,3.263,0.474,2.211,0.722,1.333,3.333,1.778,1.333,1.87,0.895,1.524,1.661,0.841,2.016,1.32,1.91,1.97,2.157,1.782
"NEW",2.375,2.062,2.688,2.062,2.75,3.938,1.19,1.952,3,1.333,1,2.277,2.462,2.387,2.294,2.352,1.769,1.632,1.774,1.732,1.653,1.549
"NICE",2.412,0.765,0.706,2.176,0.765,2.529,0.526,1.053,2.263,2.684,0.526,1.734,1.348,1.312,1.976,1.348,1.7,1.02,1.58,1.91,2.056,0.964
"NIGHT",2,0.312,0.375,1.312,0.312,4.75,1.15,1.4,3.95,1.15,1.45,2.129,1.25,1.258,1.852,1.25,0.577,2.033,2.234,1.82,1.927,2.282
"NO",4.222,0,0.167,1.444,0,1.944,0.35,1.35,3.6,4.05,0.35,1.353,0,0.514,1.917,0,1.83,0.745,1.387,1.603,1.432,0.745
"NOISY",4.752,0.08,0.244,0.92,0.09,1.006,0.235,0.118,4.353,0.882,0.294,0.769,0.477,0.763,1.412,0.497,1.451,0.562,0.332,1.057,1.691,0.985
"NONE",1,0.389,1.111,0.556,0.389,1.667,0.5,0.75,1.25,0.6,0.55,1.782,1.195,1.844,1.338,1.195,2.086,1.539,1.65,1.916,1.536,1.538
"NOODLE",0.222,4.278,2,0.611,1.667,3.278,0.45,1.8,1.2,3.5,0.75,0.732,0.958,1.879,1.461,1.782,1.994,0.759,1.542,1.735,1.878,1.164
"NOSE",1.19,0.429,3.048,1.143,3,4.238,0.053,1.789,4.211,0.895,0.053,1.806,1.363,1.627,1.852,2.168,1.3,0.229,1.96,1.584,1.729,0.229
"NOT",1.564,0.487,0.513,0.949,0.513,1.487,0.158,0.421,2.053,1.632,0.211,1.847,1.295,1.315,1.503,1.315,1.805,0.501,1.017,2.121,2.06,0.713
"NOW",1.579,1,1.053,2.526,1,2.105,1.15,1.35,1.7,1.25,1,2.194,1.795,1.87,1.896,1.795,2.183,1.899,1.981,2.055,1.832,1.686
"NURSE",2.429,0.143,1.381,0.571,0.238,3.905,1.412,2.353,3.588,2.471,2.353,1.63,0.655,1.746,1.287,0.539,1.609,1.839,1.935,1.734,2.125,1.869
"NUT",0.737,3.789,2.895,0.842,2.105,3.737,0.2,2,1.7,3.1,0.9,1.661,2.07,2.132,1.642,1.729,1.881,0.523,1.806,1.949,1.832,1.714
"OFF",1,0.611,1.333,0.778,0.222,2.389,0.947,2.526,1.895,1.053,0.684,1.237,1.461,1.782,1.478,0.732,2.146,1.682,2.01,1.997,1.682,1.376
"OLD",1.85,1.1,1.5,2.3,1.1,3.35,1.955,2.045,3.773,1.955,2.045,1.424,1.447,1.638,1.895,1.483,1.137,2.081,2.149,1.875,2.149,2.193
"ON",2.235,0.059,0.647,0.471,0.176,3.412,1.053,2.421,2.053,1.053,1,2.166,0.243,1.412,1.068,0.529,2.063,1.81,2.168,2.041,1.682,1.667
"OPEN",1.706,0.059,1.824,0.412,0.294,3.412,1.2,3.15,2.1,2.3,0.65,1.961,0.243,2.243,0.712,0.985,2.123,1.642,2.134,2.125,2.105,1.04
"OTHER",1.476,0.714,1.19,0.857,0.571,2.571,0.6,0.85,1.2,0.6,0.3,1.504,1.488,1.632,1.824,1.248,1.748,1.353,1.663,1.989,1.188,0.801
"OUCH",0.684,0.053,4.105,4.211,0,1.316,2.895,2.895,3.105,3.368,2.737,1.293,0.229,1.41,1.316,0,1.827,1.696,1.56,1.56,1.535,1.727
"OUT",1.35,0.15,1.35,0.35,0.9,3.45,1.7,1.6,1.85,1.45,1.05,1.814,0.671,1.785,0.933,1.683,1.731,1.75,1.93,1.755,1.605,1.538
"OUTSIDE",3.579,0.947,1.947,1.579,3.158,4.421,2.824,2.824,3.529,2.235,2.529,1.305,1.682,2.013,1.895,1.608,0.902,1.912,2.007,1.807,2.078,2.004
"OVEN",1.105,0.158,2.368,0.211,1.789,4.368,0.524,2.762,1.952,0.476,0.81,1.696,0.501,2.06,0.713,1.782,0.895,1.209,1.786,1.83,1.123,1.289
"OVER",1.632,0.105,0.632,1.158,0.316,2.421,1.85,2.1,2,1,1.1,2.114,0.315,1.342,1.608,1.157,1.865,1.981,1.774,1.892,1.556,1.744
"OWL",3.941,0.059,1.059,0.059,0.294,4.647,0,0.722,3.222,0.278,0,1.197,0.243,1.676,0.243,0.588,0.493,0,1.406,2.29,0.752,0
"PAINT",0.25,0.2,2.2,0.25,3.05,4.35,0.647,3.294,2.059,0.529,0.765,0.639,0.696,1.735,0.786,1.791,1.309,1.222,2.054,1.784,1.281,1.091
"PAJAMA",0.167,0,3.278,0.722,0.444,3.444,3.105,3.316,0.895,0.211,3.263,0.514,0,1.904,1.32,1.042,1.58,1.524,1.416,1.449,0.713,1.522
"PANT",3.4,0,0.7,2.05,0.1,2.15,0.944,0.778,1.389,3.833,1.333,1.392,0,1.342,2.012,0.308,1.872,1.765,1.555,1.754,1.618,1.91
"PAPER",1.895,0.105,4.211,0.368,0.684,4.316,0.3,3.45,1.9,0.35,0.35,1.449,0.315,1.032,1.212,0.885,1.157,0.657,1.669,1.889,0.745,0.745
"PARK",1.471,0.059,0.765,0,1.176,4.118,2.65,2.1,2,0.45,1.45,1.736,0.243,1.393,0,1.879,1.409,2.11,2.125,2.026,1.276,1.82
"PARTY",4.176,0.647,0.941,1.471,0.647,4.706,2.286,2.524,3.476,3.095,2.286,1.131,1.367,1.56,1.807,1.272,0.47,1.848,1.806,1.692,1.841,1.678
"PEA",0.1,4.55,2.4,0.25,1.6,4,0.048,1.333,1.095,2.952,0.19,0.447,1.191,2.186,0.786,1.501,1.654,0.218,1.494,1.546,2.179,0.402
"PEN",0.526,0.053,4.316,0.053,0.158,4.211,0.238,4.238,2.286,0.333,0.476,1.307,0.229,0.946,0.229,0.501,1.437,0.7,1.609,2.194,0.913,1.078
"PENCIL",0.211,0.158,3.684,0,0.842,3.684,0.238,3.81,1.143,0.333,0.048,0.631,0.375,1.797,0,1.5,1.734,0.889,1.861,1.621,1.111,0.218
"PENGUIN",1.9,0,1.6,0,0.45,4.45,0.381,1,2.952,0.333,0.429,1.774,0,1.957,0,0.945,1.234,1.161,1.612,1.884,1.065,1.207
"PENNY",0.529,0.059,3.118,0.294,0.412,4.471,0.15,3.45,2.2,0.1,0.05,1.179,0.243,1.799,0.849,0.618,0.717,0.366,1.959,2.215,0.308,0.224
"PEOPLE",3.722,0.944,2.667,1.722,2,4.167,1.941,2.941,3.882,3.176,1.824,1.32,1.589,1.455,1.742,1.283,1.339,2.106,1.853,1.691,2.038,2.038
"PERSON",3.818,0.909,3,1.455,2.091,4.455,2.476,3.381,4.476,3.81,2.429,1.468,1.54,1.512,1.738,1.688,0.858,2.25,1.802,0.981,1.75,2.181
"PICK",1.111,0,1.778,0.333,0.111,2.667,0.895,3.737,2.316,1.263,0.579,1.745,0,1.957,0.767,0.471,2.249,1.41,1.593,1.916,1.79,1.071
"PICKLE",0.824,4.529,2.765,1,3,3.647,0,1.333,0.722,2.722,0,1.185,0.943,1.786,1.768,1.904,1.539,0,1.645,1.487,2.445,0
"PICNIC",1.1,2.4,1.15,0.2,1.65,4.05,2.105,2.632,2.684,3.263,1.421,1.373,2.037,1.565,0.41,1.785,1.605,1.912,2.033,2.083,2.156,1.677
"PICTURE",0.158,0.105,1.684,0.789,0.053,4.632,0.25,1.55,3.6,0.6,0.4,0.501,0.315,1.857,1.619,0.229,0.831,0.716,1.932,1.93,1.095,0.883
"PIG",2.75,1.938,1.25,0.25,2.25,3.75,0.579,1.053,1.895,1.632,0.579,1.693,2.144,1.949,0.683,1.693,1.807,1.465,1.615,2.233,2.033,1.427
