"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"TOY",2.7,0.05,3.45,0.35,0.25,4.35,1.095,3.286,2.095,0.333,0.81,1.809,0.224,1.432,0.875,0.639,0.933,1.261,1.821,1.895,0.658,1.123
"TRACTOR",3.4,0.267,2.4,0.267,0.333,4.2,2.368,2.737,2.474,0.684,1.474,1.682,0.704,2.098,0.594,0.724,1.424,2.033,2.077,1.867,1.6,1.775
"TRAIN",4.211,0,0.579,0.158,0.158,4.421,1.25,1.35,2.35,0.65,0.95,1.316,0,1.261,0.501,0.375,1.346,1.773,1.843,2.007,1.531,1.605
"TRASH",0.688,0.25,2.375,0.5,3.625,3.875,1,3.059,2.588,0.941,0.882,0.946,0.775,1.928,1.033,1.668,1.708,1.5,1.886,2.033,1.853,1.495
"TRAY",0.737,0,3.421,0.158,0.053,3.684,0.647,3.176,1.824,0.235,0.529,1.24,0,1.835,0.688,0.229,1.701,1.272,1.912,1.879,0.562,1.068
"TREE",1.45,0.3,2.9,0.6,1.5,4.75,0.6,2.45,2.95,0.3,0.65,1.791,1.129,1.714,1.392,1.395,0.444,1.095,1.761,2.064,0.923,1.137
"TRICYCLE",0.938,0.062,2.25,0.062,0.062,4.438,3.25,2.8,2.1,0.7,1.05,1.063,0.25,2.082,0.25,0.25,1.315,2.049,1.795,1.997,1.593,1.276
"TRUCK",3.111,0,2.278,0.333,0.889,4.278,2.043,2.043,2.609,0.652,0.957,1.779,0,2.191,0.97,1.278,1.447,1.894,1.942,2.126,1.434,1.492
"TRY",1.3,0.75,0.7,1.65,0.25,2.5,2.579,3.211,3.579,2.105,2.526,1.525,1.164,1.342,1.694,0.786,1.878,1.865,1.96,1.71,1.912,1.837
"TUMMY",1,0.105,3.316,2.526,0.421,3.105,0.174,1.435,1.174,0.913,4.391,1.054,0.315,1.765,1.896,0.902,1.969,0.65,1.805,1.302,1.505,1.469
"TUNA",0.059,4.176,2,0.412,3.471,4.118,0.263,1.947,2.158,4,0.684,0.243,1.237,1.173,1.228,1.663,1.054,0.733,1.81,2.167,1.732,1.157
"TURTLE",0.556,0.278,1.944,0.111,0.5,4.278,0.789,1.632,1.684,0.263,0.316,0.705,0.575,1.765,0.323,0.857,1.274,1.357,1.921,1.916,0.733,0.749
"UNCLE",3.4,0.1,1.65,0.45,0.85,4.15,0.611,0.889,2.5,1.278,0.611,2.113,0.447,1.663,0.999,1.461,1.599,1.29,1.367,1.917,1.708,1.243
"UNDER",0.7,0.25,1.1,0.85,0.4,3.15,1.526,1.526,2.368,0.842,1.368,1.418,0.786,1.619,1.531,1.273,1.872,1.775,1.775,2.114,1.463,1.862
"UNDERPANTS",0.333,0.167,3.167,0.722,0.611,4.111,2,0.9,0.6,0.1,1.95,0.686,0.383,1.618,1.227,0.778,0.758,1.974,1.447,1.231,0.308,2.139
"UP",0.6,0,1.333,2.067,0,4.133,2.55,3.05,2.7,1.65,2.15,1.352,0,2.024,2.251,0,1.457,2.164,2.064,2.179,2.007,2.033
"VACUUM",3.15,0.05,2.7,0.8,0.3,3.5,1.2,3.05,1.85,0.4,0.75,1.954,0.224,1.922,1.436,0.571,1.762,1.473,1.877,1.899,1.188,1.251
"VANILLA",0,4.556,0.833,0.056,3.556,2.611,0,0.7,1.85,3.3,0.4,0,1.247,1.689,0.236,1.542,2.146,0,1.342,2.134,1.976,1.273
"VITAMIN",0,3.235,2,0.353,0.941,4.118,0.429,1.048,1.381,2.905,0.476,0,1.954,2.062,0.862,1.478,1.453,1.121,1.746,1.884,1.841,1.209
"WAIT",0.895,0.105,0.474,1.737,0.105,1.632,1.9,1.6,2.8,1.05,1.55,1.487,0.459,0.964,1.79,0.459,2.087,1.832,1.698,2.016,1.432,1.572
"WAKE",1.833,0.111,1.056,3.944,0.389,2.444,1.15,1.3,3.15,0.75,1.05,1.757,0.471,1.589,1.474,0.85,1.886,1.663,1.559,1.927,1.41,1.572
"WALK",0.765,0,1.588,2.529,0.176,3.118,4.947,1.368,1.105,0.526,1.263,1.437,0,2.002,1.807,0.728,1.965,0.229,1.461,1.243,1.02,1.368
"WALKER",0.765,0,1.353,0.294,0,3.765,3.25,1.6,1.15,0.35,0.95,1.3,0,1.967,0.985,0,1.522,2.221,1.698,1.814,0.875,1.538
"WASH",1.688,0.5,3,0.938,2,3.25,1.368,4.158,2.316,0.895,1.368,1.852,1.155,1.633,1.289,1.673,1.844,1.739,1.463,1.827,1.663,1.707
"WATER",2.857,3.667,3.524,1.048,0.571,4.19,1.895,3.211,2.842,4,2.105,1.682,1.592,1.401,1.532,1.028,1.25,2.052,1.782,2.089,1.7,1.997
